protocol_id,link,titles
prot-1927--ak--040,https://swerik-project.github.io/riksdagen-records-pdf/1927/prot-1927--ak--040/prot-1927--ak--040_054,no header
prot-1928--ak--009,https://swerik-project.github.io/riksdagen-records-pdf/1928/prot-1928--ak--009/prot-1928--ak--009_003,§ 9.; § 10.
prot-1928--ak--030,https://swerik-project.github.io/riksdagen-records-pdf/1928/prot-1928--ak--030/prot-1928--ak--030_019,no header
prot-1928--fk--009,https://swerik-project.github.io/riksdagen-records-pdf/1928/prot-1928--fk--009/prot-1928--fk--009_015,no header
prot-1928--fk--039,https://swerik-project.github.io/riksdagen-records-pdf/1928/prot-1928--fk--039/prot-1928--fk--039_040,no header
prot-1929--ak--016,https://swerik-project.github.io/riksdagen-records-pdf/1929/prot-1929--ak--016/prot-1929--ak--016_107,§ 8.
prot-1929--fk--024,https://swerik-project.github.io/riksdagen-records-pdf/1929/prot-1929--fk--024/prot-1929--fk--024_087,no header
prot-1930--fk--003,https://swerik-project.github.io/riksdagen-records-pdf/1930/prot-1930--fk--003/prot-1930--fk--003_117,no header
prot-1931--ak--017,https://swerik-project.github.io/riksdagen-records-pdf/1931/prot-1931--ak--017/prot-1931--ak--017_003,no header
prot-1931--ak--042,https://swerik-project.github.io/riksdagen-records-pdf/1931/prot-1931--ak--042/prot-1931--ak--042_062,no header
prot-1931--fk--032,https://swerik-project.github.io/riksdagen-records-pdf/1931/prot-1931--fk--032/prot-1931--fk--032_091,no header
prot-1931--fk--039,https://swerik-project.github.io/riksdagen-records-pdf/1931/prot-1931--fk--039/prot-1931--fk--039_001,no header
prot-1932--ak--014,https://swerik-project.github.io/riksdagen-records-pdf/1932/prot-1932--ak--014/prot-1932--ak--014_034,no header
prot-1932--ak--020,https://swerik-project.github.io/riksdagen-records-pdf/1932/prot-1932--ak--020/prot-1932--ak--020_054,no header
prot-1932--ak--026,https://swerik-project.github.io/riksdagen-records-pdf/1932/prot-1932--ak--026/prot-1932--ak--026_014,§ 11.; § 12.; § 13.
prot-1932--ak--030,https://swerik-project.github.io/riksdagen-records-pdf/1932/prot-1932--ak--030/prot-1932--ak--030_003,no header
prot-1932--ak--038,https://swerik-project.github.io/riksdagen-records-pdf/1932/prot-1932--ak--038/prot-1932--ak--038_009,§ 9.
prot-1932--ak--042,https://swerik-project.github.io/riksdagen-records-pdf/1932/prot-1932--ak--042/prot-1932--ak--042_121,no header
prot-1932--fk--015,https://swerik-project.github.io/riksdagen-records-pdf/1932/prot-1932--fk--015/prot-1932--fk--015_085,no header
prot-1932--fk--029,https://swerik-project.github.io/riksdagen-records-pdf/1932/prot-1932--fk--029/prot-1932--fk--029_018,no header
prot-1933--ak--036,https://swerik-project.github.io/riksdagen-records-pdf/1933/prot-1933--ak--036/prot-1933--ak--036_009,no header
prot-1934--ak--032,https://swerik-project.github.io/riksdagen-records-pdf/1934/prot-1934--ak--032/prot-1934--ak--032_037,no header
prot-1935--ak--019,https://swerik-project.github.io/riksdagen-records-pdf/1935/prot-1935--ak--019/prot-1935--ak--019_035,no header
prot-1935--ak--025,https://swerik-project.github.io/riksdagen-records-pdf/1935/prot-1935--ak--025/prot-1935--ak--025_013,no header
prot-1936--ak--036,https://swerik-project.github.io/riksdagen-records-pdf/1936/prot-1936--ak--036/prot-1936--ak--036_000,§ 1.; § 2.; § 3.; § 4.; § 5.; § 6.
prot-1936--fk--015,https://swerik-project.github.io/riksdagen-records-pdf/1936/prot-1936--fk--015/prot-1936--fk--015_025,no header
