protocol_id	x	facs	github	NROWS	NCOLS	row_to_check	content	tricky	most_probable_line	lev
data/1876/prot-1876--ak--022.xml	36	https://betalab.kb.se/prot-1876--ak--22/prot_1876__ak__22-036.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1876/prot-1876--ak--22.xml#L3168	50	1	43	likväl, att då man icke fick bataljonshästläkare, som äro lika qvalifice-		likväl, att då man icke fick bataljonshästläkare, som äro lika qvalificer	1
data/1876/prot-1876--ak--028.xml	20	https://betalab.kb.se/prot-1876--ak--28/prot_1876__ak__28-020.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1876/prot-1876--ak--28.xml#L1672	49	1	5	till enskild person, än till en kommun, kan jag ej fatta.		till enskild person, än till en kommun, kan jag ej fatta.	0
data/1876/prot-1876--ak--028.xml	20	https://betalab.kb.se/prot-1876--ak--28/prot_1876__ak__28-020.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1876/prot-1876--ak--28.xml#L1672	49	1	30	arrendatorn och regementsombudet hade förklarat, att de icke ville		arrendatorn och regementsombudet hade förklarat, att de icke ville	0
data/1876/prot-1876--ak--028.xml	20	https://betalab.kb.se/prot-1876--ak--28/prot_1876__ak__28-020.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1876/prot-1876--ak--28.xml#L1672	49	1	45	kronolägenheten, erhållit arrendet på tjugu år, räknade från midfa-		kronolägenheten, erhållit arrendet på tjugu år, räknade från midfas	1
data/1876/prot-1876--ak--037.xml	13	https://betalab.kb.se/prot-1876--ak--37/prot_1876__ak__37-013.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1876/prot-1876--ak--37.xml#L1058	49	1	33	detta arbete kunna fullbordas, så att det efter 100 år är dugligt? Jag		detta arbete kunna fullbordas, så att det efter 100 år är dugligt? jag	0
data/1876/prot-1876--ak--037.xml	13	https://betalab.kb.se/prot-1876--ak--37/prot_1876__ak__37-013.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1876/prot-1876--ak--37.xml#L1058	49	1	35	Utskottet här lemnat skall vara tillräcklig för att visa, att dessa ar-		utskottet här lemnat skall vara tillräcklig för att visa, att dessa arb	1
data/1876/prot-1876--ak--037.xml	13	https://betalab.kb.se/prot-1876--ak--37/prot_1876__ak__37-013.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1876/prot-1876--ak--37.xml#L1058	49	1	38	den tid, inom hvilken vissa af dessa arbeten skola kunna afslutas, synes		 den tid,inom hvilken vissa af dessa arbeten skola kunna afslutas, synes	2
data/1876/prot-1876--ak--008.xml	1	https://betalab.kb.se/prot-1876--ak--8/prot_1876__ak__8-001.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1876/prot-1876--ak--8.xml#L124	51	1	15	måtte besluta sådan förhöjning af den i Kongl. kungörelsen af den 12		måtte besluta sådan förhöjning af den i kongl. kungörelsen af den 12	0
data/1876/prot-1876--ak--008.xml	1	https://betalab.kb.se/prot-1876--ak--8/prot_1876__ak__8-001.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1876/prot-1876--ak--8.xml#L124	51	1	24	motionären nu yrkat ett bestämdt beslut från Riksdagens sida, så		motionären nu yrkat ett bestämdt beslut från riksdagens sida, så	0
data/1876/prot-1876--ak--008.xml	1	https://betalab.kb.se/prot-1876--ak--8/prot_1876__ak__8-001.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1876/prot-1876--ak--8.xml#L124	51	1	44	har visserligen från motsatta sidan hört det påstående — hvilket tro-		har visserligen från motsatta sidan hört det påstående - hvilket trol	1
data/1876/prot-1876--fk--016.xml	29	https://betalab.kb.se/prot-1876--fk--16/prot_1876__fk__16-029.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1876/prot-1876--fk--16.xml#L2340	50	1	20	dagen önskar framläggandet af en sådan, för att hafva vissa grund-		dagen önskar framläggandet af en sådan, för att hafva vissa grundd	1
